[I 2020-01-15 20:56:22.237 SingleUserLabApp extension:158] JupyterLab extension loaded from /opt/jupyterhub/lib64/python3.6/site-packages/jupyterlab
[I 2020-01-15 20:56:22.243 SingleUserLabApp extension:159] JupyterLab application directory is /opt/jupyterhub/share/jupyter/lab
[I 2020-01-15 20:56:22.608 SingleUserLabApp __init__:25] Loading lmod extension
[I 2020-01-15 20:56:22.612 SingleUserLabApp singleuser:561] Starting jupyterhub-singleuser server version 1.0.0
[I 2020-01-15 20:56:22.616 SingleUserLabApp log:174] 302 GET /user/guest160/ -> /user/guest160/lab? (@132.219.137.246) 1.55ms
[I 2020-01-15 20:56:22.621 SingleUserLabApp notebookapp:1875] Serving notebooks from local directory: /home/guest160
[I 2020-01-15 20:56:22.621 SingleUserLabApp notebookapp:1875] The Jupyter Notebook is running at:
[I 2020-01-15 20:56:22.621 SingleUserLabApp notebookapp:1875] http://helk80n02.helios.calculquebec.ca:39665/user/guest160/
[I 2020-01-15 20:56:22.622 SingleUserLabApp notebookapp:1876] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[I 2020-01-15 20:56:22.634 SingleUserLabApp singleuser:542] Updating Hub with activity every 300 seconds
[I 2020-01-15 20:56:23.082 SingleUserLabApp log:174] 302 GET /user/guest160/ -> /user/guest160/lab? (@69.28.236.4) 0.59ms
[I 2020-01-15 20:56:23.126 SingleUserLabApp log:174] 302 GET /user/guest160/lab? -> /hub/api/oauth2/authorize?client_id=jupyterhub-user-guest160&redirect_uri=%2Fuser%2Fguest160%2Foauth_callback&response_type=code&state=[secret] (@69.28.236.4) 1.98ms
[I 2020-01-15 20:56:23.288 SingleUserLabApp auth:981] Logged-in user {'kind': 'user', 'name': 'guest160', 'admin': False, 'groups': [], 'server': '/user/guest160/', 'pending': None, 'created': '2020-01-08T21:36:15.420535Z', 'last_activity': '2020-01-15T20:56:23.285514Z', 'servers': None}
[I 2020-01-15 20:56:23.288 SingleUserLabApp log:174] 302 GET /user/guest160/oauth_callback?code=[secret]&state=[secret] -> /user/guest160/lab? (@69.28.236.4) 48.20ms
[I 2020-01-15 20:56:23.332 SingleUserLabApp log:174] 200 GET /user/guest160/lab? (guest160@69.28.236.4) 6.30ms
[I 2020-01-15 20:56:24.866 SingleUserLabApp log:174] 200 GET /user/guest160/api/kernelspecs?1579121785275 (guest160@69.28.236.4) 32.90ms
[I 2020-01-15 20:56:24.867 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121785274 (guest160@69.28.236.4) 6.30ms
[I 2020-01-15 20:56:24.910 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121785277 (guest160@69.28.236.4) 1.20ms
[I 2020-01-15 20:56:24.945 SingleUserLabApp log:174] 200 GET /user/guest160/lab/api/settings/?1579121785282 (guest160@69.28.236.4) 28.75ms
